iter	Passed	Remaining
0	1	104
1	2	99
2	3	98
3	3	91
4	4	91
5	5	89
6	6	88
7	7	87
8	8	86
9	9	85
10	10	84
11	11	84
12	12	84
13	13	83
14	14	82
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	28	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	54
43	41	52
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	57	38
60	58	37
61	59	36
62	59	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
